"Stream/Site name","Type","Nid","Air Temperature","Delta"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1629","15.6",""
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1629","","1"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1629","","2"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1629","","3"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1630","61.1",""
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1630","","1"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1630","","2"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1630","","3"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1637","16.6",""
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1637","","1"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1637","","2"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1637","","3"
"Blair Creek","Data: Water Quality","1690","67",""
"Blair Creek","Data: Water Quality","1690","65","1"
"Blair Creek","Data: Water Quality","1690","62","2"
"Blair Creek","Data: Water Quality","1690","61","3"
"Sandy River Outdoor School","Data: Water Quality","1928","",""
"Sandy River Outdoor School","Data: Water Quality","1928","","1"
"Sandy River Outdoor School","Data: Water Quality","1928","","2"
"Sandy River Outdoor School","Data: Water Quality","1928","","3"
"Salmon River #2","Data: Water Quality","1994","60",""
"Salmon River #2","Data: Water Quality","1994","","1"
"Salmon River #2","Data: Water Quality","1994","","2"
"Salmon River #2","Data: Water Quality","1994","","3"
"Salmon River #2","Data: Water Quality","1997","60",""
"Salmon River #2","Data: Water Quality","1997","","1"
"Salmon River #2","Data: Water Quality","1997","","2"
"Salmon River #2","Data: Water Quality","1997","","3"
"SE Belmont","Data: Water Quality","2236","",""
"SE Belmont","Data: Water Quality","2236","","1"
"SE Belmont","Data: Water Quality","2236","","2"
"SE Belmont","Data: Water Quality","2236","","3"
"SE Belmont","Data: Water Quality","2237","43",""
"SE Belmont","Data: Water Quality","2237","43","1"
"SE Belmont","Data: Water Quality","2237","43","2"
"SE Belmont","Data: Water Quality","2237","43","3"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2303","41",""
