"Equipment type - Water Temp. sample 1","Equipment type - Water Temp. sample 2","Equipment type - Water Temp. sample 4","Equipment type - Water Temp. sample 3","Equipment type - Air Temp. sample 1","Equipment type - Air Temp. sample 2","Equipment type - Air Temp. sample 3","Equipment type - Air Temp. sample 4","Equipment type - Dissolved O2 sample 1","Equipment type - Dissolved O2 sample 2","Equipment type - Dissolved O2 sample 3","Equipment type - Dissolved O2 sample 4","Equipment type - pH. sample 1","Equipment type - pH. sample 2","Equipment type - pH. sample 3","Equipment type - pH. sample 4","Equipment type - turbidity sample 1","Equipment type - turbidity sample 2","Equipment type - turbidity sample 3","Equipment type - turbidity sample 4","Equipment type - Salinity sample 1","Equipment type - Salinity sample 2","Equipment type - Salinity sample 3","Equipment type - Salinity sample 4","Nid","Type"
"manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","","","","","1629","Data: Water Quality"
"manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","","","","","1630","Data: Water Quality"
"manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","","","","","1637","Data: Water Quality"
"","","","","","","","","","","","","","","","","","","","","","","","","1690","Data: Water Quality"
"","","","","","","","","","","","","","","","","","","","","","","","","1928","Data: Water Quality"
"manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","","","","","1994","Data: Water Quality"
"manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","","","","","1997","Data: Water Quality"
"manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","","","","","2236","Data: Water Quality"
"manual","manual","manual","manual","manual","manual","manual","manual","manual","Vernier","manual","manual","manual","manual","manual","manual","manual","manual","manual","manual","","","","","2237","Data: Water Quality"
"","","","","","","","","","","","","","","","","","","","","","","","","2303","Data: Water Quality"
