"Stream/Site name","DEQ Data Quality Level","Collected","School","Any fish present?","# of live fish","# of carcasses","Air Temperature Units","Water Temperature Units","Latitude","Longitude","Nid"
"Ryan Meadow Student Stewardship Projects","Level E","Tue, 2009-07-07 03:00","","Yes","1","1","Celsius","Celsius","","","1629"
"Ryan Meadow Student Stewardship Projects","Level E","Tue, 2009-07-07 02:30","","Yes","6","1","Fahrenheit","Fahrenheit","","","1630"
"Ryan Meadow Student Stewardship Projects","Level E","Tue, 2009-07-07 03:00","","Yes","2","1","Celsius","Celsius","","","1637"
"Blair Creek","","Mon, 2009-09-07 17:00","","No","5","","Fahrenheit","Fahrenheit","","","1690"
"Sandy River Outdoor School","","Wed, 2009-09-30 17:00","","Yes","1","","Fahrenheit","Fahrenheit","","","1928"
"Salmon River #2","","Mon, 2009-09-14 14:30","","Yes","6","","Fahrenheit","Fahrenheit","","","1994"
"Salmon River #2","","Sun, 2009-09-13 17:00","","Yes","5","3","Fahrenheit","Fahrenheit","","","1997"
"SE Belmont","","Sun, 2009-11-08 16:00","","Yes","4","","Fahrenheit","Celsius","","","2236"
"SE Belmont","","Mon, 2009-03-09 17:00","","No","","","Fahrenheit","Fahrenheit","","","2237"
"REALMS Tumalo Creek Study Site","","Mon, 2009-10-19 17:00","","No","","","Fahrenheit","Fahrenheit","","","2303"
"REALMS Tumalo Creek Study Site","","Mon, 2009-10-26 17:00","","No","","","Fahrenheit","Fahrenheit","","","2310"
"REALMS Tumalo Creek Study Site","","Mon, 2009-11-02 16:00","","No","","","Fahrenheit","Fahrenheit","","","2311"
"REALMS Tumalo Creek Study Site","","Mon, 2010-06-07 17:00","","No","","","Celsius","Celsius","","","2340"
"SE Belmont","Level E","Fri, 2010-07-23 14:44","","","","","Fahrenheit","Fahrenheit","","","2367"
"SE Belmont","Level E","Tue, 2010-07-06 11:17","","","","","Celsius","Celsius","","","2373"
"Lotus Isle Cove","Level E","Thu, 2010-07-01 (All day)","","No","","10","Fahrenheit","Fahrenheit","","","2375"
"SE Belmont","Level E","Fri, 2010-07-23 13:45","","","","","Celsius","Celsius","","","2376"
"SE Belmont","Level E","Fri, 2010-07-30 11:45","","","","","Celsius","Celsius","","","2381"
